iter	Passed	Remaining
623	75430	45451
624	75567	45340
625	75689	45220
626	75801	45093
627	75920	44972
628	76031	44845
629	76148	44721
630	76271	44602
631	76384	44477
632	76501	44353
633	76624	44234
634	76731	44105
635	76840	43978
636	76976	43865
637	77087	43739
638	77196	43611
639	77311	43487
640	77427	43364
641	77546	43242
642	77655	43114
643	77794	43004
644	77916	42884
645	78049	42770
646	78156	42641
647	78262	42512
648	78370	42385
649	78483	42260
650	78591	42132
651	78697	42004
652	78819	41883
653	78929	41757
654	79046	41634
655	79160	41511
656	79268	41383
657	79377	41256
658	79499	41136
659	79609	41010
660	79714	40882
661	79821	40755
662	79935	40630
663	80066	40515
664	80184	40393
665	80296	40268
666	80408	40143
667	80535	40026
668	80647	39901
669	80755	39775
670	80878	39655
671	80987	39529
672	81118	39413
673	81233	39290
674	81344	39165
675	81466	39046
676	81601	38932
677	81731	38816
678	81848	38694
679	81959	38569
680	82089	38453
681	82201	38328
682	82312	38203
683	82425	38079
684	82548	37960
685	82656	37834
686	82764	37707
687	82878	37584
688	82999	37464
689	83115	37341
690	83242	37224
691	83356	37100
692	83477	36980
693	83586	36855
694	83692	36728
695	83801	36603
696	83909	36476
697	84016	36350
698	84136	36230
699	84249	36107
700	84363	35984
701	84472	35858
702	84591	35737
703	84697	35611
704	84824	35493
705	84935	35369
706	85047	35245
707	85156	35120
708	85269	34997
709	85398	34880
710	85516	34759
711	85623	34634
712	85736	34511
713	85847	34387
714	85958	34263
715	86070	34139
716	86179	34014
717	86297	33893
718	86412	33771
719	86554	33660
720	86678	33541
721	86809	33425
722	86917	33300
723	87031	33177
724	87142	33054
725	87249	32928
726	87373	32810
727	87482	32685
728	87590	32561
729	87712	32441
730	87829	32320
731	87964	32205
732	88076	32082
733	88185	31958
734	88330	31847
735	88444	31724
736	88561	31603
737	88695	31488
738	88809	31365
739	88920	31242
740	89036	31120
741	89165	31003
742	89282	30882
743	89407	30763
744	89536	30646
745	89651	30524
746	89774	30405
747	89888	30283
748	90001	30160
749	90114	30038
750	90244	29921
751	90363	29800
752	90469	29675
753	90578	29552
754	90699	29432
755	90816	29311
756	90922	29186
757	91035	29064
758	91145	28940
759	91252	28816
760	91363	28693
761	91479	28572
762	91600	28452
763	91723	28333
764	91833	28210
765	91955	28090
766	92063	27967
767	92181	27846
768	92294	27724
769	92435	27610
770	92563	27493
771	92675	27370
772	92802	27252
773	92916	27130
774	93031	27009
775	93159	26891
776	93271	26768
777	93379	26645
778	93485	26521
779	93596	26398
780	93709	26276
781	93820	26154
782	93944	26035
783	94063	25915
784	94171	25792
785	94295	25673
786	94430	25557
787	94539	25434
788	94649	25311
789	94767	25191
790	94876	25068
791	95007	24951
792	95115	24828
793	95224	24705
794	95333	24582
795	95450	24462
796	95571	24342
797	95703	24225
798	95833	24108
799	95975	23993
800	96094	23873
801	96232	23758
802	96355	23638
803	96474	23518
804	96590	23397
805	96701	23275
806	96810	23152
807	96920	23030
808	97038	22910
809	97159	22790
810	97271	22668
811	97379	22545
812	97489	22423
813	97620	22306
814	97750	22188
815	97868	22068
816	97991	21949
817	98106	21828
818	98228	21708
819	98354	21590
820	98465	21468
821	98578	21346
822	98686	21224
823	98809	21104
824	98927	20984
825	99051	20865
826	99172	20745
827	99294	20626
828	99402	20503
829	99519	20383
830	99632	20262
831	99766	20145
832	99875	20023
833	100012	19906
834	100122	19784
835	100231	19662
836	100340	19540
837	100463	19421
838	100571	19299
839	100681	19177
840	100794	19056
841	100908	18935
842	101023	18814
843	101133	18692
844	101243	18571
845	101352	18449
846	101468	18329
847	101579	18207
848	101684	18085
849	101814	17967
850	101925	17845
851	102036	17724
852	102145	17603
853	102257	17481
854	102363	17359
855	102472	17238
856	102583	17117
857	102704	16997
858	102818	16877
859	102926	16755
860	103043	16635
861	103154	16514
862	103260	16392
863	103374	16271
864	103485	16150
865	103596	16029
866	103705	15908
867	103823	15788
868	103947	15669
869	104063	15549
870	104179	15429
871	104290	15308
872	104397	15187
873	104520	15068
874	104630	14947
875	104748	14827
876	104853	14705
877	104971	14585
878	105091	14466
879	105205	14346
880	105319	14225
881	105431	14105
882	105547	13985
883	105672	13866
884	105782	13745
885	105892	13624
886	106000	13504
887	106112	13383
888	106225	13263
889	106337	13142
890	106448	13022
891	106567	12902
892	106682	12782
893	106811	12664
894	106921	12543
895	107027	12422
896	107136	12302
897	107264	12183
898	107386	12064
899	107503	11944
900	107612	11824
901	107891	11722
902	108056	11607
903	108175	11487
904	108292	11367
905	108416	11248
906	108538	11129
907	108651	11008
908	108784	10890
909	108904	10770
910	109016	10650
911	109132	10530
912	109257	10411
913	109373	10291
914	109497	10171
915	109614	10052
916	109736	9932
917	109850	9812
918	109958	9691
919	110066	9570
920	110178	9450
921	110299	9331
922	110410	9210
923	110525	9090
924	110633	8970
925	110749	8850
926	110859	8730
927	110973	8609
928	111088	8490
929	111196	8369
