iter	Logloss
0	0.6802739063
1	0.6687382708
2	0.6587496495
3	0.6491571598
4	0.6404784063
5	0.633033195
6	0.6265694239
7	0.6202073722
8	0.6152792522
9	0.6106860931
10	0.6059715274
11	0.6017462251
12	0.5976854664
13	0.5945328992
14	0.5914866141
15	0.5887366474
16	0.5857736284
17	0.583046602
18	0.5808975044
19	0.5785392529
20	0.5761793064
21	0.574211127
22	0.5722337997
23	0.5706729482
24	0.5687296595
25	0.5670803917
26	0.5656200368
27	0.5640892355
28	0.5625012222
29	0.5614844397
30	0.5603853316
31	0.5592695466
32	0.5578710456
33	0.5567456858
34	0.5558438771
35	0.5547610763
36	0.5539508585
37	0.5532165585
38	0.5525613375
39	0.5516085647
40	0.5508657576
41	0.5500082295
42	0.5489373305
43	0.548185822
44	0.5475014103
45	0.5467882442
46	0.5461149897
47	0.5453945536
48	0.5448226136
49	0.5441229501
50	0.5434619499
51	0.5430116982
52	0.5425114949
53	0.5421040163
54	0.5415509604
55	0.5411494637
56	0.5406477645
57	0.5400714579
58	0.5395604198
59	0.5391021475
60	0.5385036922
61	0.5380250683
62	0.5376311637
63	0.5370987468
64	0.5365571408
65	0.5359911478
66	0.5355343122
67	0.5351554724
68	0.5347688675
69	0.5343945342
70	0.5339725212
71	0.5335653381
72	0.5331419196
73	0.5327646612
74	0.5323012016
75	0.531933579
76	0.5311822348
77	0.5308445067
78	0.5305125184
79	0.5300532337
80	0.5297332112
81	0.5294028929
82	0.5289896503
83	0.5285607157
84	0.528362299
85	0.528090715
86	0.5277508358
87	0.5275018484
88	0.5269659448
89	0.526629816
90	0.5263580511
91	0.5261492284
92	0.5258392539
93	0.5253881125
94	0.5251347044
95	0.5247685773
96	0.5243474108
97	0.5239153666
98	0.5236229484
99	0.5233923979
100	0.523110248
101	0.5228044919
102	0.5224780987
103	0.5221376912
104	0.521654398
105	0.5213839951
106	0.5210859985
107	0.5208513936
108	0.5202802785
109	0.5200498283
110	0.5198078459
111	0.5195410695
112	0.5193103486
113	0.5190881824
114	0.5188582516
115	0.5186535364
116	0.5183718424
117	0.5180934894
118	0.5177882815
119	0.5175527153
120	0.5174010072
121	0.5171691613
122	0.5168702493
123	0.5166309495
124	0.5164292802
125	0.516149282
126	0.5156636141
127	0.5154392951
128	0.5152285662
129	0.515053842
130	0.5148004337
131	0.5146326384
132	0.514459575
133	0.514298481
134	0.514062009
135	0.5138227474
136	0.513600263
137	0.5133968918
138	0.513185632
139	0.5129742527
140	0.512837774
141	0.5126037788
142	0.5123556706
143	0.5121284185
144	0.511949516
145	0.5117985304
146	0.5116219792
147	0.5113279729
148	0.5111118667
149	0.5109203425
150	0.5105232229
151	0.5103264544
152	0.5101517498
153	0.5099749197
154	0.5098259187
155	0.5096638395
156	0.509422187
157	0.5091013775
158	0.5088512624
